nohup: ignoring input
[2026-03-16 23:28:13] 🚀🚀 2D 终极保守宇宙 (前 6 阶深挖·通宵挂机版) 启动 🚀🚀
[2026-03-16 23:28:13] 硬件自检：并发 50 核火力全开，内存屏障已激活。
/root/miniconda3/lib/python3.12/site-packages/scipy/optimize/_differentialevolution.py:488: UserWarning: differential_evolution: the 'workers' keyword has overridden updating='immediate' to updating='deferred'
  with DifferentialEvolutionSolver(func, bounds, args=args,
differential_evolution step 1: f(x)= 0.9852741038464021
differential_evolution step 2: f(x)= 0.5192573883502067
differential_evolution step 3: f(x)= 0.5192573883502067
differential_evolution step 4: f(x)= 0.5192573883502067
differential_evolution step 5: f(x)= 0.5192573883502067
differential_evolution step 6: f(x)= 0.5192573883502067
differential_evolution step 7: f(x)= 0.5192573883502067
differential_evolution step 8: f(x)= 0.5192573883502067
differential_evolution step 9: f(x)= 0.5192573883502067
differential_evolution step 10: f(x)= 0.5192573883502067
differential_evolution step 11: f(x)= 0.5192573883502067
differential_evolution step 12: f(x)= 0.5192573883502067
differential_evolution step 13: f(x)= 0.5192573883502067
differential_evolution step 14: f(x)= 0.5192573883502067
differential_evolution step 15: f(x)= 0.5192573883502067
[2026-03-16 23:43:14] [Worker] eps=0.046491 | delta_a=0.015397 | MAE(6)=30.85724 | N=119 | 耗时:899.9s
[2026-03-16 23:59:13] [Worker] eps=0.048871 | delta_a=0.004126 | MAE(6)=5.43619 | N=119 | 耗时:958.7s
[2026-03-17 00:16:32] [Worker] eps=0.046748 | delta_a=0.005736 | MAE(6)=1.07190 | N=118 | 耗时:889.3s
[2026-03-17 00:32:05] [Worker] eps=0.049300 | delta_a=0.003213 | MAE(6)=8.47335 | N=119 | 耗时:933.1s
[2026-03-17 00:49:38] [Worker] eps=0.048895 | delta_a=0.007821 | MAE(6)=11.47989 | N=118 | 耗时:898.3s
[2026-03-17 01:05:06] [Worker] eps=0.049586 | delta_a=0.017933 | MAE(6)=5.94974 | N=119 | 耗时:927.5s
[2026-03-17 01:21:44] [Worker] eps=0.048449 | delta_a=0.002273 | MAE(6)=15.75722 | N=119 | 耗时:904.3s
[2026-03-17 01:37:33] [Worker] eps=0.046725 | delta_a=0.009585 | MAE(6)=30.32416 | N=119 | 耗时:948.2s
[2026-03-17 01:53:23] [Worker] eps=0.044646 | delta_a=0.005239 | MAE(6)=3.02542 | N=119 | 耗时:878.2s
[2026-03-17 02:08:58] [Worker] eps=0.048697 | delta_a=0.004397 | MAE(6)=158.75668 | N=120 | 耗时:934.8s
[2026-03-17 02:27:35] [Worker] eps=0.042914 | delta_a=0.005258 | MAE(6)=22.25747 | N=118 | 耗时:976.9s
[2026-03-17 02:42:16] [Worker] eps=0.045692 | delta_a=0.002883 | MAE(6)=22.97439 | N=119 | 耗时:880.8s
[2026-03-17 02:59:20] [Worker] eps=0.047801 | delta_a=0.004200 | MAE(6)=80.19397 | N=119 | 耗时:927.4s
[2026-03-17 03:14:23] [Worker] eps=0.045661 | delta_a=0.005924 | MAE(6)=19.33260 | N=120 | 耗时:902.6s
[2026-03-17 03:31:35] [Worker] eps=0.046923 | delta_a=0.010883 | MAE(6)=26.82998 | N=118 | 耗时:896.8s
[2026-03-17 03:46:37] [Worker] eps=0.047687 | delta_a=0.014179 | MAE(6)=6.38197 | N=118 | 耗时:901.6s
[2026-03-17 04:04:23] [Worker] eps=0.048545 | delta_a=0.008303 | MAE(6)=62.08099 | N=120 | 耗时:906.3s
[2026-03-17 04:19:40] [Worker] eps=0.046339 | delta_a=0.004686 | MAE(6)=1.55038 | N=118 | 耗时:917.6s
[2026-03-17 04:37:02] [Worker] eps=0.045262 | delta_a=0.010470 | MAE(6)=12.24357 | N=119 | 耗时:890.2s
[2026-03-17 04:52:04] [Worker] eps=0.046560 | delta_a=0.010417 | MAE(6)=32.18860 | N=119 | 耗时:901.4s
[2026-03-17 05:09:29] [Worker] eps=0.046673 | delta_a=0.002434 | MAE(6)=74.52623 | N=119 | 耗时:892.9s
[2026-03-17 05:22:15] [Worker] eps=0.046460 | delta_a=0.009555 | MAE(6)=3.31927 | N=118 | 耗时:766.8s
[2026-03-17 05:41:56] [Worker] eps=0.047637 | delta_a=0.007402 | MAE(6)=6.94611 | N=117 | 耗时:897.4s
[2026-03-17 05:56:35] [Worker] eps=0.044761 | delta_a=0.003228 | MAE(6)=2.59661 | N=119 | 耗时:879.6s
[2026-03-17 06:14:52] [Worker] eps=0.045168 | delta_a=0.009701 | MAE(6)=16.60356 | N=119 | 耗时:903.5s
[2026-03-17 06:29:56] [Worker] eps=0.045472 | delta_a=0.003349 | MAE(6)=1.24188 | N=118 | 耗时:904.3s
[2026-03-17 06:46:45] [Worker] eps=0.045207 | delta_a=0.004383 | MAE(6)=9.39815 | N=119 | 耗时:878.6s
[2026-03-17 07:01:51] [Worker] eps=0.048110 | delta_a=0.005161 | MAE(6)=8.86794 | N=119 | 耗时:906.0s
[2026-03-17 07:19:15] [Worker] eps=0.048541 | delta_a=0.009701 | MAE(6)=7.56646 | N=119 | 耗时:898.2s
[2026-03-17 07:33:53] [Worker] eps=0.044936 | delta_a=0.008228 | MAE(6)=19.50075 | N=119 | 耗时:877.8s
[2026-03-17 07:51:26] [Worker] eps=0.047737 | delta_a=0.011590 | MAE(6)=16.73316 | N=118 | 耗时:895.4s
[2026-03-17 08:01:17] [Worker] eps=0.047514 | delta_a=0.001307 | MAE(6)=3.33400 | N=118 | 耗时:590.9s
[2026-03-16 23:44:40] [Worker] eps=0.049159 | delta_a=0.013759 | MAE(6)=0.98527 | N=118 | 耗时:986.2s
[2026-03-17 00:00:37] [Worker] eps=0.047489 | delta_a=0.001675 | MAE(6)=13.44922 | N=119 | 耗时:957.1s
[2026-03-17 00:17:24] [Worker] eps=0.046354 | delta_a=0.019554 | MAE(6)=1.46075 | N=118 | 耗时:942.3s
[2026-03-17 00:33:50] [Worker] eps=0.044178 | delta_a=0.009633 | MAE(6)=18.96662 | N=117 | 耗时:986.0s
[2026-03-17 00:49:20] [Worker] eps=0.043339 | delta_a=0.005523 | MAE(6)=26.16111 | N=120 | 耗时:880.2s
[2026-03-17 01:04:44] [Worker] eps=0.048448 | delta_a=0.009598 | MAE(6)=116.18280 | N=120 | 耗时:923.8s
[2026-03-17 01:21:53] [Worker] eps=0.045647 | delta_a=0.010883 | MAE(6)=2.85083 | N=120 | 耗时:912.7s
[2026-03-17 01:37:19] [Worker] eps=0.049758 | delta_a=0.004052 | MAE(6)=4.33777 | N=119 | 耗时:926.1s
[2026-03-17 01:54:51] [Worker] eps=0.048352 | delta_a=0.004035 | MAE(6)=14.41672 | N=119 | 耗时:965.5s
[2026-03-17 02:10:48] [Worker] eps=0.043125 | delta_a=0.017976 | MAE(6)=12.39579 | N=116 | 耗时:957.0s
[2026-03-17 02:26:35] [Worker] eps=0.049233 | delta_a=0.002351 | MAE(6)=4.67770 | N=119 | 耗时:917.5s
[2026-03-17 02:41:47] [Worker] eps=0.044254 | delta_a=0.002174 | MAE(6)=4.45974 | N=119 | 耗时:912.0s
[2026-03-17 03:00:08] [Worker] eps=0.049717 | delta_a=0.003402 | MAE(6)=9.78722 | N=119 | 耗时:975.5s
[2026-03-17 03:14:57] [Worker] eps=0.042829 | delta_a=0.002337 | MAE(6)=17.02638 | N=120 | 耗时:888.5s
[2026-03-17 03:32:15] [Worker] eps=0.047205 | delta_a=0.010989 | MAE(6)=2.65149 | N=118 | 耗时:937.0s
[2026-03-17 03:47:56] [Worker] eps=0.046590 | delta_a=0.009252 | MAE(6)=59.73769 | N=119 | 耗时:941.0s
[2026-03-17 04:04:38] [Worker] eps=0.047722 | delta_a=0.001928 | MAE(6)=144.26000 | N=119 | 耗时:921.0s
[2026-03-17 04:14:12] [Worker] eps=0.047911 | delta_a=0.006234 | MAE(6)=4.35765 | N=119 | 耗时:574.1s
[2026-03-17 04:38:30] [Worker] eps=0.045213 | delta_a=0.001900 | MAE(6)=3.17155 | N=116 | 耗时:977.7s
[2026-03-17 04:53:32] [Worker] eps=0.049726 | delta_a=0.008143 | MAE(6)=5.98668 | N=119 | 耗时:902.0s
[2026-03-17 05:10:44] [Worker] eps=0.044832 | delta_a=0.008965 | MAE(6)=4.57505 | N=116 | 耗时:968.1s
[2026-03-17 05:25:47] [Worker] eps=0.044448 | delta_a=0.001227 | MAE(6)=13.31824 | N=120 | 耗时:903.3s
[2026-03-17 05:43:12] [Worker] eps=0.043555 | delta_a=0.009106 | MAE(6)=5.78970 | N=116 | 耗时:973.5s
[2026-03-17 05:58:27] [Worker] eps=0.047624 | delta_a=0.001067 | MAE(6)=6.92340 | N=118 | 耗时:915.6s
[2026-03-17 06:14:08] [Worker] eps=0.048850 | delta_a=0.003404 | MAE(6)=2.96643 | N=119 | 耗时:859.5s
[2026-03-17 06:29:02] [Worker] eps=0.043826 | delta_a=0.011570 | MAE(6)=32.62982 | N=120 | 耗时:893.7s
[2026-03-17 06:47:11] [Worker] eps=0.045095 | delta_a=0.001086 | MAE(6)=22.81733 | N=118 | 耗时:903.7s
[2026-03-17 07:02:27] [Worker] eps=0.047872 | delta_a=0.008362 | MAE(6)=3.36732 | N=118 | 耗时:916.0s
[2026-03-17 07:19:38] [Worker] eps=0.047570 | delta_a=0.004125 | MAE(6)=1.10799 | N=118 | 耗时:920.8s
[2026-03-17 07:35:15] [Worker] eps=0.048622 | delta_a=0.018085 | MAE(6)=14.35216 | N=118 | 耗时:936.9s
[2026-03-17 07:51:39] [Worker] eps=0.045408 | delta_a=0.011264 | MAE(6)=23.38374 | N=119 | 耗时:907.8s
[2026-03-17 08:01:53] [Worker] eps=0.044538 | delta_a=0.006319 | MAE(6)=17.25358 | N=119 | 耗时:614.4s
[2026-03-16 23:44:06] [Worker] eps=0.042281 | delta_a=0.005121 | MAE(6)=12.04150 | N=120 | 耗时:952.1s
[2026-03-16 23:59:29] [Worker] eps=0.046030 | delta_a=0.014235 | MAE(6)=23.56515 | N=120 | 耗时:922.5s
[2026-03-17 00:17:39] [Worker] eps=0.049247 | delta_a=0.005796 | MAE(6)=21.60599 | N=119 | 耗时:956.9s
[2026-03-17 00:33:25] [Worker] eps=0.048554 | delta_a=0.014022 | MAE(6)=1.27352 | N=118 | 耗时:946.4s
[2026-03-17 00:49:45] [Worker] eps=0.047600 | delta_a=0.001559 | MAE(6)=376.67143 | N=118 | 耗时:905.2s
[2026-03-17 01:05:16] [Worker] eps=0.049158 | delta_a=0.015840 | MAE(6)=3.92716 | N=119 | 耗时:930.6s
[2026-03-17 01:21:43] [Worker] eps=0.047679 | delta_a=0.006940 | MAE(6)=31.82690 | N=119 | 耗时:903.2s
[2026-03-17 01:37:03] [Worker] eps=0.047525 | delta_a=0.008066 | MAE(6)=32.60597 | N=119 | 耗时:919.4s
[2026-03-17 01:55:20] [Worker] eps=0.048924 | delta_a=0.008037 | MAE(6)=74.86744 | N=116 | 耗时:994.7s
